"","windowstart","windowend","matrix.unlist.cosamps...ncol...length.names.sensor.....1..nrow...length.startwindows..."
"1","2020-03-14 12:00:00","2020-03-17 11:00:00",10.6386826237078
"2","2020-03-15 12:00:00","2020-03-18 11:00:00",11.1715928861969
"3","2020-03-16 12:00:00","2020-03-19 11:00:00",15.8058832005534
