"","windowstart","windowend","matrix.unlist.cosampses...ncol...length.names.sensor.....1..nrow...length.startwindows..."
"1","2020-03-14 12:00:00","2020-03-17 11:00:00",1.89651651788054
"2","2020-03-15 12:00:00","2020-03-18 11:00:00",2.20322404848894
"3","2020-03-16 12:00:00","2020-03-19 11:00:00",2.2532161555285
