"mesor","pval_lombout","pwr_lombout","period_lombout","pval_cos","phi_cos","phi_SE_cos","amp_cos","amp_SE_cos","PR_cos","period_auto","pwr_auto","window_start","window_end"
0,0,0,0,0,0,0,0,0,0,0,0,"2020-03-14 12:00:00","2020-03-17 11:00:00"
1.30036625228337,0.000414482051638071,8.93905291316032,20.4022988505747,0.00219911260094796,-224.454435254625,15.8773739323223,1.02730784996319,0.280733442559879,16.2540729084852,8,0.0386261087005442,"2020-03-15 12:00:00","2020-03-18 11:00:00"
1.84349608630461,0.00010352217726672,10.3262967227025,26.9961977186312,0.00000418072092911448,-327.331392372665,10.7218985495527,1.88312664308047,0.345599589094195,30.1616070838518,8,0.0238900874597634,"2020-03-16 12:00:00","2020-03-19 11:00:00"
