"","windowstart","windowend","matrix.unlist.cosphises...ncol...length.names.sensor.....1..nrow...length.startwindows..."
"1","2020-03-14 12:00:00","2020-03-17 11:00:00",15.3520127256225
"2","2020-03-15 12:00:00","2020-03-18 11:00:00",27.5057940819177
"3","2020-03-16 12:00:00","2020-03-19 11:00:00",29.3723520080177
