"","windowstart","windowend","matrix.unlist.cosphis...ncol...length.names.sensor.....1..nrow...length.startwindows...","phasehrs"
"1","2020-03-14 12:00:00","2020-03-17 11:00:00",-244.008899101364,-16.2672599400909
"2","2020-03-15 12:00:00","2020-03-18 11:00:00",-136.28572807335,-9.08571520489002
"3","2020-03-16 12:00:00","2020-03-19 11:00:00",-11.1339073339494,-0.742260488929962
