"","windowstart","windowend","matrix.unlist.autopowersall...ncol...length.names.sensor....."
"1","2020-03-14 12:00:00","2020-03-17 11:00:00",0.147842719474234
"2","2020-03-15 12:00:00","2020-03-18 11:00:00",0.0589569905351241
"3","2020-03-16 12:00:00","2020-03-19 11:00:00",0.0752033404972638
