"","windowstart","windowend","matrix.unlist.cosprs...ncol...length.names.sensor.....1..nrow...length.startwindows..."
"1","2020-03-14 12:00:00","2020-03-17 11:00:00",21.2773295331033
"2","2020-03-15 12:00:00","2020-03-18 11:00:00",35.4819896892511
"3","2020-03-16 12:00:00","2020-03-19 11:00:00",49.4834939107481
