window,IND 1,IND 10,IND 11,IND 12,IND 13,IND 14,IND 15,IND 16,IND 17,IND 18,IND 19,IND 2,IND 20,IND 21,IND 22,IND 23,IND 24,IND 25,IND 26,IND 27,IND 28,IND 29,IND 3,IND 30,IND 31,IND 32,IND 4,IND 5,IND 6,IND 7,IND 8,IND 9
1,21.580547112462,0,0,0,0,0,25.177304964539,22.1875,0,0,0,22.6114649681529,0,0,0,0,0,20.0564971751412,0,0,0,0,24.9122807017544,27.6264591439689,0,0,23.0519480519481,22.4683544303797,27.3076923076923,24.4827586206897,21.9814241486068,0
2,25.5395683453237,0,0,0,0,0,25.6317689530686,23.9057239057239,0,0,0,26.1992619926199,0,0,0,0,0,21.4501510574018,0,0,0,0,NA,22.8295819935691,0,0,26.1992619926199,NA,21.0059171597633,24.8251748251748,0,0
3,23.6666666666667,0,0,0,0,0,29.8319327731092,22.8295819935691,0,0,0,27.3076923076923,0,0,0,0,0,23.9864864864865,0,0,0,0,24.3150684931507,25.9124087591241,0,0,24.8251748251748,22.6114649681529,NA,19.9438202247191,0,0
