Identifyer,mesor,pval_lombout,pwr_lombout,period_lombout,pval_cos,phi_cos,phi_SE_cos,amp_cos,amp_SE_cos,PR_cos,period_auto,pwr_auto,window_start,window_end,window
IND 2,4.706509366,1.27E-06,14.72546795,22.46835443,2.17E-09,-132.0649103,7.453491325,8.460634186,1.151142333,43.91123362,13,0.07520334,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 20,6.386898644,3.36E-05,11.4515031,22.90322581,3.57E-07,-151.8751609,9.292644483,12.29816953,2.020296265,34.96937961,16,0.11955411,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 20,6.425119703,1.69E-04,9.835412653,22.90322581,2.13E-06,-131.3614255,9.835120807,12.8024955,2.272259374,31.51785707,15,0.118680959,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 20,7.447458667,7.08E-05,10.70682502,22.68370607,9.04E-07,-121.5778654,9.379465966,14.87722715,2.54090124,33.1929848,13,0.125472873,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 21,1.300366252,4.14E-04,8.939052913,20.40229885,0.002199113,-224.4544353,15.87737393,1.02730785,0.280733443,16.25407291,8,0.038626109,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 21,1.843496086,1.04E-04,10.32629672,26.99619772,4.18E-06,-327.3313924,10.72189855,1.883126643,0.345599589,30.16160708,8,0.023890087,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 22,7.504791132,2.26E-08,18.75675584,23.66666667,1.41E-12,-146.1806156,6.308460584,9.505068989,1.042288106,54.65840704,12,0.060255685,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 22,9.148613461,3.84E-08,18.2262485,23.27868852,8.67E-13,-141.2869445,6.155353429,11.17977863,1.210645296,55.2929262,23,0.137326518,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 22,9.854309443,8.07E-07,15.18027938,22.82958199,1.99E-10,-139.9874172,7.018511573,12.78552816,1.613421684,47.66468482,5,0.007621775,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 23,13.8173232,2.07E-08,18.84281347,24.31506849,7.96E-13,-126.4638657,6.165666216,23.57496242,2.546482782,55.40383673,24,0.300797702,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 23,13.01899201,3.31E-08,18.37406911,24.48275862,1.70E-12,-117.3832087,6.297156953,22.38380926,2.466955198,54.41357544,24,0.408602623,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 23,11.05570938,7.11E-09,19.91192137,24.23208191,4.02E-14,-121.5004932,5.736907319,19.01930532,1.904901745,59.09848239,24,0.28520278,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 24,10.02833778,2.26E-06,14.15016555,23.12703583,4.19E-09,-154.4939495,7.974347265,16.44538894,2.288587414,42.8291545,6,0.03631133,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 24,10.28268234,7.12E-06,13.00299027,23.90572391,1.73E-08,-119.3378108,8.360102729,16.67952605,2.437331016,40.43105329,6,0.043597223,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 24,10.24645785,4.55E-06,13.45081793,24.14965986,2.06E-08,-103.4903023,8.458831001,16.8081774,2.471557897,40.1300629,6,0.061518284,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 25,10.26501569,6.16E-07,15.44989846,22.75641026,8.27E-10,-163.8232412,7.53358861,17.99408426,2.374889427,45.45685705,6,0.16886595,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 25,9.447567679,4.06E-06,13.5653682,22.82958199,4.94E-09,-138.8204885,7.773233078,17.24312271,2.412477551,42.55721317,13,0.090117387,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 25,10.97758824,5.28E-07,15.60419134,22.61146497,1.19E-10,-128.5041978,6.814331578,20.07411538,2.493321475,48.43890903,13,0.105309725,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 26,3.319655145,0.005833212,6.294759565,22.32704403,9.51E-04,-187.2547431,14.75296309,2.624003164,0.668914147,18.26436108,6,0.068743042,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 26,4.060392824,0.003387845,6.838133327,23.20261438,8.54E-05,-108.2947259,11.98107653,2.817212868,0.607209049,23.77881858,6,0.08456818,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 26,5.957703077,2.28E-04,9.536770968,22.32704403,4.26E-06,-124.9031644,10.07304216,5.619629974,1.030526075,30.12349231,5,0.055169689,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 3,3.329714015,0.002177214,7.280281447,22.1875,3.96E-04,-211.2886787,14.15741945,4.140304826,0.98763158,20.31257008,3,0.016239058,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 3,4.328893359,4.60E-05,11.13741567,20.9439528,3.80E-05,-229.038218,11.76541298,3.90005333,0.801513804,25.54931008,3,0.030199204,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 3,7.424132588,4.85E-05,11.08473701,22.04968944,9.70E-07,-141.2791239,9.395914102,6.579421531,1.127162513,33.05768617,3,0.02265975,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 4,17.62143724,5.57E-04,8.642869914,20.40229885,9.80E-04,-191.3942329,14.83058287,9.216833765,2.352958186,18.19329077,8,0.062543945,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 4,23.79418344,4.30E-04,8.902092299,24.31506849,7.43E-06,-40.49183048,10.8566188,16.25267163,3.0626885,28.98667816,9,0.053529513,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 4,24.60715304,0.000211234,9.613116491,22.68370607,1.55E-05,-95.86197491,10.95638878,16.52891579,3.236839782,27.45145091,6,0.041999478,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 5,7.259625457,1.05E-08,19.52424091,23.50993377,5.19E-13,-163.1868348,6.201279142,11.07704485,1.183273787,55.95388405,25,0.219453302,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 5,7.074599828,5.22E-08,17.91961136,20.9439528,1.21E-10,-229.8032069,7.116304673,10.35040012,1.28627227,48.41405048,2,0.015039343,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 5,9.030238741,4.60E-07,15.74273458,22.11838006,1.62E-10,-148.8816309,6.874769305,12.39153408,1.553560395,47.9736664,4,0.009105345,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 6,5.098666847,3.33E-05,11.4591989,22.97734628,5.62E-07,-144.459908,9.420393621,5.577780563,0.933763103,34.10892315,6,0.042009332,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 6,8.247201731,2.56E-04,9.419215233,23.66666667,1.24E-06,-105.097446,9.798718276,10.12172863,1.752620841,32.58691462,15,0.055375469,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 6,9.790074469,3.20E-06,13.80342603,24.06779661,4.50E-09,-89.59339888,8.010345116,11.94659787,1.665678914,42.71036181,8,0.018058692,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 7,11.32975416,4.19E-05,11.23152424,21.58054711,2.33E-06,-230.502022,10.4734011,10.63868262,1.896516518,31.33350648,10,0.088155933,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 7,13.14818242,7.54E-05,10.64389353,20.22792023,1.79E-05,-260.5383729,11.29801398,11.17159289,2.203224048,27.1584442,6,0.040848564,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 7,16.86265267,4.45E-06,13.47228261,22.75641026,8.56E-09,-110.1104321,7.862159258,15.8058832,2.253216156,41.63425934,9,0.080749368,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 8,4.984186151,6.32E-04,8.517022402,22.1875,5.42E-05,-182.7372013,11.97400784,5.79504994,1.216756361,24.77866243,9,0.052553084,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 8,4.403496392,1.96E-04,9.686869774,22.04968944,6.72E-06,-145.3646659,10.27781631,3.633882427,0.681304907,29.19333847,3,0.071342053,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 8,5.392878899,8.85E-04,8.180482682,20.05649718,3.10E-04,-179.6743734,13.46680153,4.00432009,0.939013597,20.87443518,8,0.084372784,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 9,7.842554328,0.095480906,3.465481089,20.9439528,0.074563219,-228.9010722,24.65296471,2.785110793,1.19940258,7.248796175,2,0.073401802,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 9,9.589263313,0.078594419,3.666302065,20.69970845,0.025865494,-250.563424,20.61929925,3.365593253,1.212018994,10.05191812,3,0.06131562,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 9,9.783344198,3.18E-05,11.50504724,22.61146497,2.23E-05,-120.3381061,10.95635416,5.898042422,1.176925444,26.686307,10,0.122981561,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
