window,IND 1,IND 10,IND 11,IND 12,IND 13,IND 14,IND 15,IND 16,IND 17,IND 18,IND 19,IND 2,IND 20,IND 21,IND 22,IND 23,IND 24,IND 25,IND 26,IND 27,IND 28,IND 29,IND 3,IND 30,IND 31,IND 32,IND 4,IND 5,IND 6,IND 7,IND 8,IND 9
1,4.65825060991844,0,0,0,0,0,6.63038297012155,2.94906310657701,0,0,0,5.09954081740677,0,0,0,0,0,9.15860952155583,0,0,0,0,6.2359006289593,9.76798552392961,0,0,37.9029275193654,4.5512999764857,4.51268995268454,2.18279931000511,9.63320150507461,0
2,6.69217619616031,0,0,0,0,0,4.96664754078566,2.60560003837365,0,0,0,2.8466245209487,0,0,0,0,0,5.33013342368341,0,0,0,0,1.23040214238424,8.34766200844276,0,0,45.7840566452202,3.08185056369245,6.10756373514229,0.836648734634364,0,0
3,7.46129563737196,0,0,0,0,0,4.99904860699547,3.14527216607085,0,0,0,1.69723439326663,0,0,0,0,0,6.23698310319525,0,0,0,0,3.72916681529452,123.541317956767,0,0,58.8085147929147,3.7733815765327,6.1434628137809,2.34683673955231,0,0
