window,IND 1,IND 10,IND 11,IND 12,IND 13,IND 14,IND 15,IND 16,IND 17,IND 18,IND 19,IND 2,IND 20,IND 21,IND 22,IND 23,IND 24,IND 25,IND 26,IND 27,IND 28,IND 29,IND 3,IND 30,IND 31,IND 32,IND 4,IND 5,IND 6,IND 7,IND 8,IND 9
1,4.97292557558637,41.5893332917382,27.9364419292093,0,25.7339004568569,24.6342139256902,13.2941818826836,63.2464663291024,8.66634049036958,20.1888268206866,45.1702641937439,50.9620786169906,34.9693796075343,0,54.6584070393511,55.403836734293,42.8291545006864,45.4568570453166,18.2643610836344,0,0,0,20.3125700785891,0,0,0,18.1932907713395,55.9538840451644,34.108923147216,31.3335064792218,24.778662430632,7.24879617478938
2,29.1985565418662,35.9397811473337,16.9693972260847,0,40.6954351967715,0,25.1291993426062,54.4706780042035,8.43889376724167,15.9202612485841,46.464732456464,42.9301493196121,31.5178570671731,16.2540729084852,55.2929262029952,54.4135754432768,40.4310532864246,42.5572131714843,23.7788185760734,0,0,0,25.5493100786247,0,0,0,28.9866781556332,48.4140504778366,32.5869146224863,27.1584441966566,29.193338470645,10.051918116494999
3,6.55691901060695,32.4831039063713,17.9105896108892,0,35.1495705788788,0,43.774493330043,25.9756047862734,14.603844982943,30.2218486816509,46.3733267591196,43.9112336161531,33.1929847997212,30.1616070838518,47.6646848153032,59.0984823929801,40.1300628982657,48.4389090276265,30.123492306565,0,0,0,33.0576861719758,0,0,0,27.4514509136338,47.9736664020054,42.7103618101205,41.6342593437653,20.8744351824381,26.6863070045986
