window,IND 1,IND 10,IND 11,IND 12,IND 13,IND 14,IND 15,IND 16,IND 17,IND 18,IND 19,IND 2,IND 20,IND 21,IND 22,IND 23,IND 24,IND 25,IND 26,IND 27,IND 28,IND 29,IND 3,IND 30,IND 31,IND 32,IND 4,IND 5,IND 6,IND 7,IND 8,IND 9
1,-166.616080031775,-138.572100904392,-211.481609459408,0,-147.071333812901,-22.1307362539583,-125.771604163314,-181.801234698834,-178.465047799167,-197.203610967803,-136.357045978444,-194.080015895062,-151.875160868651,0,-146.180615606434,-126.463865673746,-154.493949510688,-163.823241232979,-187.254743099996,0,0,0,-211.288678748271,0,0,0,-191.394232878741,-163.186834845326,-144.459908021255,-230.502022035533,-182.737201293618,-228.90107218239
2,-328.200160993103,-126.985856415697,-152.852360453036,0,-106.326317187344,0,-257.41214813802,-182.891550769837,-356.923453374463,-214.788318663652,-128.599953300068,-135.711093967865,-131.361425510616,-224.454435254625,-141.286944513338,-117.383208739412,-119.337810808165,-138.820488524403,-108.294725869961,0,0,0,-229.038218004828,0,0,0,-40.4918304836802,-229.803206903663,-105.097445994054,-260.538372909602,-145.364665944089,-250.563423971727
3,-162.625263436151,-132.171347135614,-199.220839224017,0,-93.0263965793487,0,-164.77464966476,-240.329249134804,-236.421605600159,-116.492589078831,-122.786742642622,-132.064910322321,-121.577865435652,-327.331392372665,-139.987417203976,-121.500493200078,-103.49030230474,-128.504197752078,-124.903164406399,0,0,0,-141.279123883411,0,0,0,-95.8619749125438,-148.881630873737,-89.5933988802393,-110.110432104169,-179.674373414594,-120.338106098244
