window,IND 1,IND 10,IND 11,IND 12,IND 13,IND 14,IND 15,IND 16,IND 17,IND 18,IND 19,IND 2,IND 20,IND 21,IND 22,IND 23,IND 24,IND 25,IND 26,IND 27,IND 28,IND 29,IND 3,IND 30,IND 31,IND 32,IND 4,IND 5,IND 6,IND 7,IND 8,IND 9
1,1.72609573013339,14.2968583472374,10.7534781876646,0,8.90489194134228,8.56494617196291,3.74106578069409,23.4754645847268,3.67052465701194,7.87629457930419,15.1862326654268,17.8283330887038,11.4515031012301,0,18.7567558441999,18.842813473117,14.1501655487975,15.4498984617078,6.29475956529505,0,0,0,7.28028144669861,0,0,0,8.64286991410402,19.5242409129771,11.4591988990168,11.2315242423467,8.5170224017365,3.46548108867649
2,10.1401359537186,11.7133398904053,6.81590291917515,0,13.4620686664963,0,9.13223917630746,19.3129805972879,2.92791534907784,6.70177752411797,15.1532084773148,14.08951466126,9.83541265270397,8.93905291316032,18.2262485007161,18.3740691053368,13.0029902722055,13.5653681975811,6.83813332673584,0,0,0,11.1374156729197,0,0,0,8.90209229917496,17.9196113647714,9.41921523253039,10.6438935257603,9.68686977378186,3.66630206504449
3,2.4817003485517,10.5478677197123,6.20939291266257,0,17.0887967127481,0,15.0578760676296,11.1004787209542,5.31268440557335,9.94411324030474,14.9233719503901,14.7254679547632,10.7068250169702,10.3262967227025,15.1802793821459,19.9119213733804,13.4508179316591,15.6041913384183,9.53677096809765,0,0,0,11.0847370063363,0,0,0,9.61311649077628,15.7427345754359,13.803426030596,13.4722826113009,8.18048268225351,11.5050472387592
