"","windowstart","windowend","matrix.unlist.cosamps...ncol...length.names.sensor.....1..nrow...length.startwindows..."
"1","2020-03-14 12:00:00","2020-03-17 11:00:00",4.21236837975602
"2","2020-03-15 12:00:00","2020-03-18 11:00:00",3.90782234762162
"3","2020-03-16 12:00:00","2020-03-19 11:00:00",3.55980856266274
