"","windowstart","windowend","matrix.unlist.powers...ncol...length.names.sensor.....1..nrow...length.startwindows..."
"1","2020-03-14 12:00:00","2020-03-17 11:00:00",3.74106578069409
"2","2020-03-15 12:00:00","2020-03-18 11:00:00",9.13223917630746
"3","2020-03-16 12:00:00","2020-03-19 11:00:00",15.0578760676296
