"","windowstart","windowend","matrix.unlist.powers...ncol...length.names.sensor.....1..nrow...length.startwindows..."
"1","2020-03-14 12:00:00","2020-03-17 11:00:00",2.27968023330244
"2","2020-03-15 12:00:00","2020-03-18 11:00:00",0.319762219869763
"3","2020-03-16 12:00:00","2020-03-19 11:00:00",6.37212242160394
