window,IND 1,IND 10,IND 11,IND 12,IND 13,IND 14,IND 15,IND 16,IND 17,IND 18,IND 19,IND 2,IND 20,IND 21,IND 22,IND 23,IND 24,IND 25,IND 26,IND 27,IND 28,IND 29,IND 3,IND 30,IND 31,IND 32,IND 4,IND 5,IND 6,IND 7,IND 8,IND 9
1,0.0117432247766365,0,0,0,0,0,1.96349478898128e-8,2.45002557350382e-4,0,0,0,0.00142964277414026,0,0,0,0,0,0.0376946895035792,0,0,0,0,0.00184484856155553,0.659430594816623,0,0,2.60281752015423e-4,0.00114160771454785,0.137781222461327,0.00448748044996106,6.02983999854478e-5,0
2,1.41152413695167e-5,0,0,0,0,0,2.61200066020706e-8,5.26256513253553e-5,0,0,0,0.0231292112025716,0,0,0,0,0,0.348609009454153,0,0,0,0,0.685665603124488,0.747312007133955,0,0,2.71639744253704e-7,0.121961261321353,0.170343988843042,0.192573874168773,0,0
3,1.47811700501599e-6,0,0,0,0,0,5.4404165266142e-6,6.44555679407688e-6,0,0,0,0.158445409874972,0,0,0,0,0,0.286482260260972,0,0,0,0,1.57861505742485e-4,0.00285957360905054,0,0,5.86743986730198e-11,0.168797184182253,0.179550022791392,7.28150692164142e-6,0,0
