Identifyer,mesor,pval_lombout,pwr_lombout,period_lombout,pval_cos,phi_cos,phi_SE_cos,amp_cos,amp_SE_cos,PR_cos,period_auto,pwr_auto,window_start,window_end,window
IND 20,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 20,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 20,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 21,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 21,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 21,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 22,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 22,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 22,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 23,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 23,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 23,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 24,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 24,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 24,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 25,16.9293073380908,0.13899465613962,3.07358361691415,20.0564971751412,0.0376946895035792,-244.008899101364,22.3652577954663,9.15860952155583,3.49298414783748,9.06464667680051,4,0.0824784616172133,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 25,17.4845986655946,0.782676888327808,0.959491191298158,21.4501510574018,0.348609009454153,-136.28572807335,38.6177951249946,5.33013342368341,3.64482124447166,3.00832658182006,5,0.15020166113074301,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 25,22.1352894873023,0.657346408369417,1.24663193267451,23.9864864864865,0.286482260260972,-11.1339073339494,35.9245922127815,6.23698310319525,3.90881368325979,3.55855642569345,5,0.068854253892051,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
