window,IND 1,IND 10,IND 11,IND 12,IND 13,IND 14,IND 15,IND 16,IND 17,IND 18,IND 19,IND 2,IND 20,IND 21,IND 22,IND 23,IND 24,IND 25,IND 26,IND 27,IND 28,IND 29,IND 3,IND 30,IND 31,IND 32,IND 4,IND 5,IND 6,IND 7,IND 8,IND 9
1,4,0,0,0,0,0,5,4,0,0,0,6,0,0,0,0,0,4,0,0,0,0,11,9,0,0,3,7,7,4,10,0
2,6,0,0,0,0,0,8,12,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,17,0,0,12,7,4,3,0,0
3,8,0,0,0,0,0,8,4,0,0,0,2,0,0,0,0,0,5,0,0,0,0,4,3,0,0,12,3,5,16,0,0
